gene_id,log2FoldChange,padj
Os01g0547600,8.507255898,9.72e-270
Os10g0210500,-4.28298236,2.28e-203
Os12g0503000,-5.527044668,6.12e-181
Os12g0438600,-3.159519933,1.54e-158
Os01g0825800,-3.737549301,1.62e-139
Os02g0120100,-4.178823717,2.88e-129
Os02g0112100,6.636687066,2.64e-108
Os02g0136000,-4.140051649,4.26e-105
Os12g0113500,-3.322388829,1.1e-100
Os01g0704100,4.940951973,2.27e-100
Os05g0561400,-5.518966406,3.94e-88
Os02g0595900,3.643817561,7.38e-82
Os03g0408600,3.914548322,4.15e-79
Os10g0554200,-3.306547594,9.06e-78
Os11g0113700,-3.457445272,2.29e-74
Os08g0150700,4.344138469,7.8e-72
Os02g0112600,3.519316468,5.08e-70
Os04g0404400,4.669173264,4.39e-68
Os12g0428000,-3.53834857,8.17e-67
Os02g0306401,-3.707059772,1.13e-65
Os11g0592100,-1.728275038,3.52e-65
Os07g0475900,-3.701408759,5.47e-65
Os05g0409500,4.209518615,5.41e-63
Os04g0680400,3.053033158,8.11e-63
Os02g0129800,-3.072519498,2.82e-62
Os07g0539900,-2.81336563,2.85e-62
Os03g0283200,2.879364822,1.54e-61
Os03g0273200,4.853451695,3.2e-61
Os02g0137700,-5.248200052,4.89e-57
Os09g0396900,2.444727862,3.05e-56
Os05g0454500,-3.213552929,1.28e-55
Os05g0399300,-2.277321925,2.1e-54
Os01g0952800,-4.654507822,4.7e-54
Os05g0111300,2.332504317,1.15e-53
Os04g0480200,4.150325969,5.93e-52
Os05g0105800,-3.945248448,1.76e-50
Os11g0267300,-2.004579075,1.66e-48
Os03g0226200,-3.60914399,3.42e-48
Os03g0233900,-3.487105276,9.63e-48
Os03g0307200,-7.621282449,8.54e-47
Os07g0129300,-5.082504904,1.96e-46
Os04g0432300,2.48824032,2.95e-45
Os06g0154400,-1.984879906,7.17e-44
Os08g0389700,2.765393615,8.5e-43
Os06g0534200,-3.240294636,6.97e-42
Os04g0269600,2.631186383,7.89e-42
Os04g0512300,2.946935181,1.02e-40
Os06g0729300,1.652548811,6.91e-40
Os01g0256500,-1.879445607,2.38e-39
Os07g0556200,-2.630478888,3e-39
Os02g0735200,1.599862194,1.06e-38
Os01g0124100,-2.254900713,1.15e-38
Os05g0519300,-3.486371171,1.39e-38
Os10g0171500,-1.747156491,2.21e-38
Os01g0159000,-2.620275573,1.83e-37
Os01g0915350,-1.960088072,1.34e-36
Os02g0575700,2.529563987,2.5e-36
Os01g0871500,-2.360589625,3.04e-36
Os03g0379300,-2.291587475,3.04e-36
