gene_id,log2FoldChange,padj
Os11g0151700,5.327022005,0.0
Os03g0406100,6.7037408,7.22e-245
Os02g0208500,5.629533025,1.12e-215
Os01g0720400,4.997845314,3.04e-211
Os09g0438100,4.465011953,6.11e-191
Os01g0142300,4.46757273,8.2e-185
Os08g0299400,7.829573848,3.29e-160
Os01g0776600,3.056998938,2.57e-141
Os05g0542150,5.078781242,1.57e-132
Os01g0838350,5.497409636,1.59e-123
Os06g0603600,3.711875433,4.55e-119
Os02g0514326,3.477015426,5.44e-116
Os04g0456700,2.415299011,1.52e-108
Os08g0564000,7.780896404,8.98e-103
Os02g0202200,3.478877346,1.14e-100
Os02g0325600,3.345888342,1.43e-91
Os05g0542200,-2.08923538,4.43e-91
Os07g0106000,4.336187694,7.03e-89
Os12g0576600,7.216570511,1.7e-88
Os01g0941800,5.040207696,3.33e-87
Os01g0376700,2.664271371,7.35e-81
Os03g0603600,3.947337173,6.11e-80
Os03g0408600,4.568611559,8.05e-80
Os12g0198000,2.221592907,9.81e-76
Os07g0668700,2.619978344,1.16e-69
Os06g0651900,4.952102843,2.42e-68
Os04g0423400,5.371682235,2.42e-68
Os10g0116800,6.509911806,1.66e-66
Os11g0658900,7.371547582,4.45e-66
Os04g0110600,1.731828773,3.74e-65
Os01g0777700,2.660044688,8.32e-64
Os09g0569300,2.53484715,8.6e-61
Os08g0280100,5.59488655,2.03e-59
Os05g0534100,2.02058711,9.93e-54
Os02g0625300,2.230282917,1.35e-52
Os08g0409900,4.872158534,2.31e-52
Os05g0387200,2.038850263,3.14e-51
Os08g0433200,2.140903102,8.98e-51
Os11g0166800,2.05951115,1.17e-49
Os03g0852800,2.416011311,2.95e-49
Os09g0506000,4.107710967,5.49e-49
Os11g0256900,-2.648609344,1.14e-47
Os06g0204400,1.867949053,6.38e-47
Os02g0514500,3.456140534,1.13e-45
Os04g0186400,2.810917973,1.59e-42
Os07g0100300,2.619965617,3.84e-42
Os09g0321200,3.97777859,2.07e-39
