Axis,Direction,Gene_query_size,Source,Term_ID,Term_name,Intersection_size,Term_size,Precision,Recall,Adjusted_p_value,Significant
P_axis,up,200,GO:BP,GO:0006950,response to stress,62,3733,0.4526,0.0166,7.3194882445887e-12,True
P_axis,up,200,GO:BP,GO:0036294,cellular response to decreased oxygen levels,13,241,0.0949,0.0539,4.897041300400312e-07,True
P_axis,up,200,GO:BP,GO:0071456,cellular response to hypoxia,13,239,0.0949,0.0544,4.897041300400312e-07,True
P_axis,up,200,GO:BP,GO:0071453,cellular response to oxygen levels,13,241,0.0949,0.0539,4.897041300400312e-07,True
P_axis,up,200,GO:BP,GO:0050896,response to stimulus,70,6001,0.5109,0.0117,4.897041300400312e-07,True
P_axis,up,200,GO:BP,GO:0070482,response to oxygen levels,13,271,0.0949,0.048,1.245721296461877e-06,True
P_axis,up,200,GO:BP,GO:0036293,response to decreased oxygen levels,13,270,0.0949,0.0481,1.245721296461877e-06,True
P_axis,up,200,GO:BP,GO:0001666,response to hypoxia,13,266,0.0949,0.0489,1.245721296461877e-06,True
P_axis,up,200,GO:BP,GO:0006817,phosphate ion transport,6,37,0.0438,0.1622,7.258342040414009e-06,True
P_axis,up,200,GO:BP,GO:0006952,defense response,27,1636,0.1971,0.0165,0.00017277742357904276,True
P_axis,up,200,GO:BP,GO:0042221,response to chemical,38,2940,0.2774,0.0129,0.00038973648682082157,True
P_axis,up,200,GO:BP,GO:0043207,response to external biotic stimulus,24,1461,0.1752,0.0164,0.0005238431859877495,True
P_axis,up,200,GO:BP,GO:0051707,response to other organism,24,1461,0.1752,0.0164,0.0005238431859877495,True
P_axis,up,200,GO:BP,GO:0015698,inorganic anion transport,7,120,0.0511,0.0583,0.0005238431859877495,True
P_axis,up,200,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,24,1477,0.1752,0.0162,0.0005854220052721187,True
P_axis,up,200,GO:BP,GO:0009607,response to biotic stimulus,24,1488,0.1752,0.0161,0.0006201434350728412,True
P_axis,up,200,GO:BP,GO:0016036,cellular response to phosphate starvation,5,72,0.0365,0.0694,0.0032180643305391708,True
P_axis,up,200,GO:BP,GO:0009605,response to external stimulus,24,1684,0.1752,0.0143,0.003408034213857979,True
P_axis,up,200,GO:BP,GO:0140255,regulation of cellular response to phosphate starvation,2,3,0.0146,0.6667,0.003408034213857979,True
P_axis,up,200,GO:BP,GO:1901684,arsenate ion transmembrane transport,2,3,0.0146,0.6667,0.003408034213857979,True
